rainfall_mm,slope_degree,soil_moisture,ground_movement,temperature,risk_label
77.59,21.06,29.96,5.24,20.09,LOW
298.09,29.89,71.54,8.86,16.42,HIGH
127.61,38.74,59.11,8.92,20.38,MODERATE
100.33,43.23,44.52,7.89,26.28,MODERATE
141.52,27.2,25.66,5.07,26.08,LOW
77.31,29.9,42.67,7.01,27.99,LOW
91.74,23.31,23.46,5.37,18.45,LOW
148.62,31.73,51.86,11.1,19.33,MODERATE
37.9,46.46,10.0,6.61,27.35,LOW
136.72,29.38,41.65,8.1,35.95,MODERATE
82.79,5.0,43.94,4.68,17.42,LOW
120.62,25.9,52.71,8.9,23.57,MODERATE
208.39,38.73,63.3,10.39,21.84,HIGH
83.63,29.56,39.7,7.06,24.87,LOW
41.04,29.66,12.72,4.31,16.82,LOW
26.73,20.92,25.19,4.65,24.53,LOW
211.33,34.33,68.3,10.35,31.32,MODERATE
102.31,26.24,58.07,8.1,14.26,MODERATE
102.18,32.67,32.49,9.17,29.98,MODERATE
42.41,48.05,24.46,7.16,16.83,MODERATE
188.35,31.52,57.06,7.83,25.55,MODERATE
112.07,43.0,45.24,9.25,26.93,MODERATE
287.38,48.79,85.27,14.96,26.25,HIGH
10.74,11.42,25.85,3.89,22.0,LOW
117.65,52.55,48.79,10.72,27.97,MODERATE
114.71,23.82,28.39,5.05,16.46,LOW
122.22,21.99,20.98,5.1,29.49,LOW
86.65,54.14,29.95,10.13,21.21,MODERATE
211.03,50.98,61.14,13.02,25.93,MODERATE
29.2,18.44,16.52,3.33,21.89,LOW
49.02,39.84,22.11,6.41,33.19,LOW
200.25,31.54,56.37,9.19,26.63,MODERATE
14.21,5.0,22.75,2.37,27.92,LOW
130.22,16.1,35.38,6.2,28.73,LOW
129.13,49.74,42.79,9.52,22.55,MODERATE
204.73,46.55,59.48,9.92,25.74,HIGH
146.85,58.06,51.75,12.47,24.99,MODERATE
28.07,18.24,30.47,4.78,27.87,LOW
167.9,24.53,65.41,14.82,21.33,MODERATE
65.77,32.65,23.5,7.69,19.76,LOW
137.31,10.35,29.21,5.22,31.09,LOW
184.69,22.38,53.7,6.63,28.72,MODERATE
153.39,37.77,36.04,10.18,18.96,MODERATE
124.8,33.24,64.33,10.81,35.41,MODERATE
150.89,56.27,41.21,9.31,20.57,MODERATE
191.87,50.68,61.72,10.75,24.71,MODERATE
143.72,46.96,54.09,9.49,31.01,MODERATE
128.99,20.05,46.1,11.94,30.95,MODERATE
71.52,21.45,47.35,8.82,19.77,LOW
169.21,42.76,50.61,12.32,27.1,MODERATE
115.13,39.16,33.65,8.94,22.14,MODERATE
104.08,20.12,30.8,5.39,26.52,LOW
189.05,49.91,62.59,10.34,23.25,MODERATE
84.11,41.72,31.99,7.08,21.58,MODERATE
54.75,11.28,19.95,2.97,18.23,LOW
107.28,31.74,42.13,7.73,31.11,LOW
104.96,34.04,43.77,10.69,19.54,MODERATE
16.22,35.29,20.74,12.39,32.81,LOW
160.22,38.61,57.45,8.96,22.24,MODERATE
237.41,36.41,67.94,10.87,26.91,HIGH
276.91,50.62,71.17,12.12,33.24,HIGH
72.59,17.03,37.46,5.71,21.42,LOW
283.56,38.52,70.26,11.12,26.83,HIGH
51.17,43.03,17.23,6.38,26.96,LOW
278.22,35.28,85.46,14.7,20.0,HIGH
128.67,19.55,40.52,7.03,25.33,LOW
63.79,32.44,42.36,8.74,28.47,MODERATE
120.58,18.12,48.38,6.1,34.21,LOW
205.91,20.85,56.91,6.91,21.51,MODERATE
168.94,35.83,56.06,8.82,26.08,MODERATE
98.51,21.65,56.9,8.9,23.24,LOW
103.71,34.01,43.85,11.1,25.16,MODERATE
138.28,5.0,50.08,5.34,20.45,LOW
200.62,43.85,54.38,10.97,22.99,MODERATE
112.31,27.46,54.46,8.06,33.11,MODERATE
97.82,35.16,47.06,7.81,24.76,MODERATE
22.26,32.82,15.21,6.52,24.46,LOW
67.0,36.29,44.78,9.61,18.89,MODERATE
81.82,9.63,34.32,4.05,30.55,LOW
121.03,34.68,34.9,6.81,29.08,LOW
12.13,17.57,12.88,3.81,24.76,LOW
62.4,29.45,35.75,6.11,35.41,LOW
126.69,35.21,36.2,10.38,20.8,MODERATE
143.33,44.86,37.71,8.85,17.75,MODERATE
85.72,34.72,30.35,6.09,23.43,LOW
225.73,38.51,62.34,9.14,18.92,MODERATE
30.06,27.33,16.23,8.66,25.44,LOW
178.29,40.67,50.59,10.12,24.44,MODERATE
17.73,25.27,26.24,6.61,30.92,LOW
104.06,31.63,39.95,6.47,21.27,MODERATE
89.76,36.12,30.62,9.45,25.99,MODERATE
99.18,16.01,33.4,5.15,25.11,LOW
25.95,45.33,19.66,7.72,29.0,LOW
167.29,27.52,51.21,11.67,17.22,MODERATE
263.3,40.2,72.36,9.97,18.61,HIGH
127.85,42.98,50.17,9.3,20.53,MODERATE
78.74,40.05,33.9,6.79,17.49,MODERATE
223.34,39.83,65.95,10.3,27.67,HIGH
222.67,58.51,75.4,12.32,27.73,HIGH
24.72,23.18,35.45,8.78,30.55,LOW
45.77,39.59,15.22,5.94,23.13,LOW
287.67,45.72,65.66,11.33,21.23,HIGH
78.63,28.36,29.5,8.15,18.32,LOW
126.73,46.13,49.15,14.72,31.82,MODERATE
237.87,31.77,70.34,9.86,22.67,HIGH
84.02,26.29,41.92,6.9,19.64,MODERATE
188.95,8.27,53.43,5.22,28.5,MODERATE
77.42,24.39,16.38,3.77,21.96,LOW
125.59,42.83,31.7,8.23,17.6,MODERATE
48.35,25.55,30.15,5.07,18.8,LOW
164.59,20.58,59.7,7.55,24.54,MODERATE
83.57,33.51,18.13,4.81,17.57,LOW
277.21,45.96,87.27,13.01,23.49,HIGH
95.3,29.34,39.68,6.94,18.81,MODERATE
250.31,40.01,69.51,9.76,18.32,HIGH
131.49,17.06,38.91,5.35,21.07,LOW
117.35,41.59,53.55,9.71,24.96,MODERATE
51.89,34.64,33.59,7.75,25.92,MODERATE
236.44,21.1,70.94,8.72,29.55,MODERATE
33.38,26.95,16.49,6.46,19.3,LOW
157.26,31.6,62.51,8.34,32.35,MODERATE
146.59,17.99,47.49,5.73,38.0,MODERATE
138.19,18.56,47.79,5.75,21.48,MODERATE
63.49,5.0,29.55,4.02,13.4,LOW
211.18,60.44,55.34,12.31,13.55,MODERATE
260.82,38.62,74.94,10.07,21.02,HIGH
42.16,48.45,29.85,8.76,19.84,LOW
56.69,38.4,23.94,6.73,24.03,LOW
274.64,28.51,77.29,15.59,27.05,HIGH
41.38,27.95,24.57,6.66,16.28,LOW
147.64,23.95,54.8,8.39,22.97,LOW
139.33,33.44,43.26,8.07,20.96,MODERATE
106.92,19.05,40.34,14.04,36.21,LOW
96.89,32.73,39.81,12.36,15.71,LOW
85.91,28.34,31.33,6.5,19.45,LOW
131.76,36.53,37.38,7.55,24.2,MODERATE
147.63,39.35,42.18,8.24,19.49,MODERATE
19.53,42.89,22.57,6.93,30.8,LOW
28.52,48.53,19.39,7.54,17.88,MODERATE
142.87,31.78,44.44,7.21,18.5,MODERATE
282.11,33.92,81.9,13.87,31.32,HIGH
130.68,5.0,51.91,5.66,16.85,LOW
258.51,23.94,81.4,11.67,29.01,HIGH
98.47,22.98,31.76,5.81,21.28,LOW
30.18,25.52,29.02,6.77,20.29,LOW
228.53,29.82,81.96,10.15,20.95,MODERATE
39.01,17.31,24.59,5.17,17.28,LOW
206.61,10.12,59.87,6.84,29.44,MODERATE
141.38,30.1,43.85,7.2,24.82,LOW
133.97,29.2,35.96,9.0,29.35,MODERATE
121.68,27.95,48.51,6.85,31.06,MODERATE
66.48,18.14,29.07,5.14,27.25,LOW
72.19,12.23,29.68,3.92,15.28,LOW
158.11,24.67,55.28,9.85,18.18,MODERATE
126.28,23.75,49.02,6.74,29.11,MODERATE
179.8,5.0,49.75,5.99,24.33,MODERATE
246.25,37.71,64.56,9.21,27.9,HIGH
24.63,24.29,15.45,4.44,23.47,LOW
146.85,37.24,64.21,12.3,21.42,MODERATE
74.18,26.04,43.14,6.33,27.91,LOW
32.31,47.49,27.77,8.6,13.64,LOW
22.28,14.98,16.9,3.19,22.08,LOW
110.81,19.37,37.32,5.73,24.4,MODERATE
161.95,18.05,53.54,7.26,25.25,MODERATE
172.1,39.02,70.53,10.84,16.23,MODERATE
59.21,31.71,30.34,6.98,16.48,LOW
208.86,49.07,65.02,11.64,21.64,MODERATE
40.63,47.48,10.0,6.02,23.62,LOW
176.0,41.97,55.78,9.43,33.33,MODERATE
37.47,37.83,12.09,4.81,18.73,LOW
180.95,25.69,50.91,8.84,21.04,MODERATE
99.09,39.05,37.17,9.6,33.55,MODERATE
234.31,26.07,64.13,8.07,30.38,MODERATE
124.43,24.16,37.29,5.74,17.32,LOW
184.43,31.75,50.56,7.28,28.05,MODERATE
32.74,23.82,20.52,9.3,28.99,LOW
146.01,24.95,45.08,8.57,25.17,MODERATE
176.14,14.98,53.91,6.48,16.96,MODERATE
179.59,31.08,54.07,8.42,20.43,MODERATE
74.8,22.77,41.69,6.13,20.23,LOW
244.59,40.21,52.41,9.58,27.17,HIGH
135.52,46.3,46.77,10.27,21.42,MODERATE
184.53,39.31,56.16,9.31,22.41,MODERATE
98.33,43.88,35.56,10.33,20.39,MODERATE
243.61,34.29,62.95,9.56,14.65,MODERATE
91.89,11.47,34.02,4.1,38.0,LOW
263.79,29.17,59.97,9.17,26.42,MODERATE
300.0,17.95,82.65,9.34,32.83,HIGH
173.41,43.61,56.25,12.98,17.31,MODERATE
153.43,32.12,43.12,7.41,33.11,MODERATE
278.28,31.11,91.75,11.22,21.62,HIGH
126.41,29.87,41.85,7.91,27.18,MODERATE
130.72,41.63,44.11,8.81,29.95,MODERATE
74.68,49.71,42.12,9.04,33.07,MODERATE
104.76,28.58,55.18,14.15,23.72,MODERATE
170.47,34.52,43.52,7.47,17.97,MODERATE
81.16,35.04,28.24,6.25,23.91,LOW
124.59,22.53,41.59,8.58,27.55,MODERATE
52.71,14.35,20.65,3.09,20.78,LOW
92.88,38.46,42.2,7.56,21.46,MODERATE
48.52,25.49,18.85,5.4,14.71,LOW
45.57,18.23,35.16,4.9,18.13,LOW
126.36,14.65,47.79,11.67,26.67,LOW
111.82,33.92,48.91,8.24,29.29,LOW
82.96,41.63,26.46,7.64,30.61,LOW
79.36,11.44,29.39,3.76,37.66,LOW
27.57,33.25,28.25,6.1,32.93,LOW
61.72,37.74,34.31,7.95,23.09,LOW
272.27,11.39,72.6,8.14,18.39,MODERATE
34.34,18.39,21.4,5.85,22.46,LOW
83.1,42.3,29.81,7.09,20.69,MODERATE
97.81,37.74,35.15,8.18,25.0,MODERATE
113.24,40.51,32.19,7.14,29.35,MODERATE
97.34,19.28,27.35,5.44,26.88,LOW
43.88,37.48,32.7,7.76,33.46,LOW
70.3,58.84,28.82,8.38,26.37,MODERATE
107.62,40.54,47.89,9.08,16.35,MODERATE
13.23,24.24,22.68,4.26,20.58,LOW
113.65,25.16,42.5,6.96,26.42,LOW
269.38,43.05,68.58,11.59,25.37,HIGH
135.61,36.5,35.15,6.58,31.85,MODERATE
136.98,39.48,41.48,11.46,24.04,MODERATE
192.67,28.84,69.64,9.38,22.94,MODERATE
95.16,27.48,43.05,10.37,14.56,MODERATE
94.86,28.07,31.47,5.49,19.16,LOW
74.86,47.31,27.91,11.45,25.85,MODERATE
187.15,38.76,48.74,7.95,25.26,MODERATE
128.96,16.8,30.99,5.09,27.57,LOW
81.31,43.76,33.7,11.24,26.7,MODERATE
82.69,41.89,46.99,8.35,23.32,MODERATE
134.39,35.06,58.47,8.24,17.99,MODERATE
77.68,28.25,36.95,8.14,24.0,MODERATE
79.33,41.8,27.63,7.75,23.73,LOW
191.58,37.55,45.55,8.48,32.23,MODERATE
94.63,37.47,44.19,7.33,31.97,MODERATE
180.94,39.57,58.38,10.22,21.13,MODERATE
125.26,25.79,40.03,6.06,20.27,MODERATE
228.59,58.25,61.42,14.75,15.88,HIGH
56.87,33.73,32.32,7.69,23.01,LOW
94.41,45.58,29.16,8.73,21.15,MODERATE
172.52,31.28,54.87,7.91,38.0,MODERATE
135.33,25.39,35.01,8.53,17.31,MODERATE
94.49,20.7,53.62,7.52,24.35,LOW
145.25,20.64,41.46,8.3,20.14,MODERATE
47.27,29.08,30.59,5.83,24.15,LOW
80.0,34.78,23.02,7.43,22.0,LOW
155.44,24.3,47.89,7.54,28.87,MODERATE
52.57,29.37,33.64,5.7,26.64,LOW
243.05,51.62,77.28,12.12,28.67,HIGH
116.33,36.51,46.7,7.69,19.49,MODERATE
115.25,30.88,39.25,6.89,30.48,LOW
175.4,55.51,48.26,10.14,21.11,MODERATE
251.48,55.85,61.7,11.49,15.56,HIGH
115.89,40.26,52.53,9.6,22.91,MODERATE
122.32,21.41,42.74,6.83,24.68,LOW
220.9,6.04,65.9,5.94,16.5,MODERATE
61.98,18.38,37.96,6.96,29.24,LOW
112.54,30.69,44.45,11.09,19.13,MODERATE
131.56,38.92,42.92,7.97,18.88,LOW
118.58,30.1,47.04,7.07,24.0,MODERATE
80.82,40.52,27.8,7.44,29.14,LOW
65.96,25.94,17.1,5.79,16.71,LOW
152.23,23.71,59.78,8.86,29.64,MODERATE
158.77,38.72,45.62,8.94,11.04,MODERATE
59.47,41.79,25.65,6.47,25.98,LOW
173.65,35.59,51.47,10.4,17.22,MODERATE
170.91,20.58,47.78,6.71,19.21,MODERATE
140.09,30.21,54.63,7.77,34.43,MODERATE
78.93,43.0,35.36,7.26,18.07,LOW
165.73,9.97,49.03,5.73,23.66,LOW
125.69,32.27,32.45,7.27,17.6,MODERATE
34.95,22.31,25.12,5.88,28.62,LOW
175.01,42.61,33.9,11.91,26.45,MODERATE
128.59,27.46,45.15,6.61,27.3,LOW
157.4,52.17,60.37,16.43,30.79,MODERATE
187.89,41.46,56.85,10.29,21.97,MODERATE
37.02,41.9,32.79,7.72,30.45,LOW
112.85,35.9,29.99,9.28,32.94,LOW
144.37,29.31,63.07,9.76,25.71,MODERATE
107.3,36.02,47.38,8.04,17.36,MODERATE
129.15,36.47,47.22,10.66,16.77,MODERATE
25.65,29.04,15.86,5.82,26.65,LOW
104.64,52.15,31.9,9.57,17.36,MODERATE
39.11,30.56,23.04,8.3,15.94,LOW
230.88,42.06,75.42,11.13,29.3,HIGH
101.1,32.5,26.72,6.99,21.25,MODERATE
141.26,31.47,46.16,8.89,38.0,MODERATE
35.76,33.85,28.74,6.59,20.06,LOW
111.01,54.99,46.86,9.38,21.02,MODERATE
83.07,21.25,39.13,7.47,26.16,LOW
140.44,17.59,34.55,4.6,25.23,LOW
28.7,44.52,30.37,8.78,23.49,LOW
74.63,36.06,31.96,9.79,23.35,MODERATE
133.6,16.86,35.71,5.18,38.0,LOW
124.84,28.49,42.27,6.39,33.96,MODERATE
154.96,52.82,33.42,8.35,29.06,MODERATE
82.97,13.15,37.88,5.58,16.65,LOW
111.43,19.16,38.49,9.28,23.56,MODERATE
147.79,38.62,37.35,7.93,27.96,MODERATE
102.44,29.61,35.22,5.96,28.49,LOW
197.11,39.27,52.71,9.63,31.67,MODERATE
85.75,35.58,28.72,7.84,20.15,LOW
60.74,37.62,10.27,5.33,23.77,LOW
134.35,29.46,31.18,7.36,19.47,MODERATE
160.79,38.02,48.54,8.27,32.01,MODERATE
144.42,20.63,43.56,7.88,28.19,MODERATE
187.1,20.57,63.95,7.8,20.96,MODERATE
16.46,33.54,13.57,4.88,25.35,LOW
202.94,31.57,55.43,10.76,24.3,MODERATE
152.64,26.4,44.74,7.41,18.72,MODERATE
139.58,41.07,44.13,8.14,29.58,MODERATE
66.12,32.3,30.28,9.75,24.46,MODERATE
123.47,50.88,38.91,9.96,20.82,MODERATE
80.29,29.47,37.23,6.3,18.62,LOW
109.57,55.05,57.51,11.54,29.13,MODERATE
99.49,5.0,30.29,5.99,25.61,LOW
37.92,33.32,26.48,7.24,19.83,LOW
161.35,37.9,50.73,8.27,21.01,MODERATE
73.08,13.01,39.45,6.03,24.03,LOW
92.94,36.7,37.07,8.08,24.38,LOW
135.15,38.35,38.92,9.53,25.15,MODERATE
126.1,49.88,33.42,7.96,13.38,MODERATE
172.99,17.68,57.94,8.21,24.72,MODERATE
12.71,14.1,10.0,2.25,16.69,LOW
127.28,37.33,52.47,9.72,32.51,MODERATE
131.04,20.71,48.25,10.78,30.26,MODERATE
109.2,29.25,39.72,6.39,30.94,LOW
72.76,45.86,20.51,6.79,9.25,LOW
134.23,23.83,49.93,7.69,22.2,MODERATE
95.62,32.78,48.97,9.17,23.53,LOW
176.12,29.75,50.35,7.64,27.45,MODERATE
24.34,24.42,14.42,5.23,29.41,LOW
145.74,48.14,46.33,11.96,31.71,MODERATE
146.27,28.62,50.91,8.88,10.1,LOW
28.67,41.26,17.06,7.35,19.19,LOW
23.15,16.93,27.29,4.6,24.35,LOW
239.27,48.43,82.92,15.11,28.98,HIGH
46.56,39.94,27.89,6.71,28.81,MODERATE
82.88,16.98,30.63,4.49,26.85,LOW
287.95,17.59,81.87,8.99,20.18,MODERATE
284.25,38.69,86.95,12.4,20.94,HIGH
144.39,41.82,48.04,10.99,20.22,MODERATE
111.87,27.0,43.49,6.39,18.11,LOW
85.27,43.43,39.4,10.02,18.03,MODERATE
48.35,44.2,18.63,8.42,17.46,LOW
115.45,32.33,44.07,8.08,26.02,LOW
218.29,29.4,52.29,9.27,24.75,MODERATE
106.17,26.18,33.09,5.57,18.44,MODERATE
126.5,32.22,51.99,7.66,13.73,MODERATE
12.33,31.23,24.68,8.08,21.78,LOW
105.41,27.22,36.03,6.64,32.88,MODERATE
81.07,55.57,46.48,9.7,24.04,MODERATE
53.54,20.0,16.3,5.05,28.8,LOW
184.15,28.57,53.87,10.5,25.08,MODERATE
124.11,34.67,44.51,8.53,23.65,MODERATE
136.99,30.31,22.67,5.49,15.16,MODERATE
124.35,24.7,41.1,6.75,21.56,LOW
79.28,26.08,23.45,6.58,20.79,LOW
85.24,18.01,24.94,3.9,32.89,LOW
92.11,29.38,33.09,5.95,25.1,LOW
74.85,5.0,16.86,2.78,31.67,LOW
48.0,24.69,19.1,5.39,30.76,LOW
104.14,32.34,23.49,5.73,18.92,MODERATE
125.45,19.71,43.59,5.99,24.01,MODERATE
66.01,9.97,30.36,3.49,34.11,LOW
279.16,41.4,73.63,10.08,27.38,HIGH
113.76,45.72,48.0,8.9,27.02,MODERATE
53.18,30.09,24.33,6.09,29.48,LOW
131.46,43.16,43.74,9.03,26.88,MODERATE
80.74,40.86,25.51,7.15,27.28,LOW
42.54,41.66,10.0,5.76,25.81,LOW
174.44,28.0,52.21,7.41,21.96,MODERATE
49.55,36.9,23.69,6.35,17.65,LOW
163.84,34.57,64.72,8.86,12.86,MODERATE
269.1,42.76,79.54,10.82,22.02,HIGH
248.91,45.89,66.46,10.44,26.62,HIGH
132.08,28.35,45.19,14.51,25.43,MODERATE
75.77,34.92,38.93,7.2,27.82,LOW
296.53,51.81,84.37,16.06,23.24,HIGH
113.22,51.85,53.26,10.19,38.0,MODERATE
39.28,44.2,17.33,6.67,36.16,LOW
92.91,16.59,43.24,7.51,14.89,LOW
103.71,34.89,34.43,6.39,27.94,LOW
184.49,64.24,57.14,11.3,29.81,MODERATE
122.05,36.97,37.39,12.15,11.26,MODERATE
166.54,22.84,50.5,7.38,25.0,MODERATE
11.74,26.99,19.27,4.31,27.1,LOW
54.68,32.01,31.78,5.82,23.97,LOW
140.41,43.11,46.38,11.59,26.32,MODERATE
213.19,40.4,42.01,10.5,24.47,MODERATE
66.54,36.96,29.02,6.94,28.22,MODERATE
223.51,49.31,75.93,11.27,33.29,HIGH
77.47,35.27,31.36,8.7,28.62,LOW
123.97,36.08,54.26,8.54,31.05,MODERATE
167.09,34.93,50.8,8.37,17.66,MODERATE
195.32,27.79,45.4,8.13,36.16,MODERATE
145.11,26.86,43.46,6.82,25.89,MODERATE
109.64,33.53,34.65,7.61,21.66,LOW
123.31,43.94,40.29,10.87,26.49,MODERATE
112.22,49.28,30.21,9.74,20.73,LOW
102.29,26.68,37.43,6.38,24.83,MODERATE
41.38,21.78,21.48,4.41,25.81,LOW
26.43,21.02,31.12,5.1,19.88,LOW
285.28,33.02,68.08,9.39,24.93,MODERATE
14.17,16.92,20.08,4.32,19.79,LOW
258.26,31.81,75.11,10.0,19.76,MODERATE
95.04,24.48,42.11,6.03,17.93,MODERATE
268.44,46.42,71.15,10.6,21.76,HIGH
109.39,56.47,40.83,9.54,20.7,MODERATE
296.39,48.29,83.03,12.71,26.84,HIGH
172.53,35.47,39.77,8.08,30.58,MODERATE
107.06,25.73,35.93,6.45,27.97,LOW
148.11,32.85,47.32,9.08,29.83,MODERATE
110.21,39.64,39.92,9.16,29.33,MODERATE
77.18,24.93,32.56,5.93,18.44,LOW
69.25,60.96,33.73,8.99,22.0,MODERATE
53.81,18.27,42.34,6.35,34.68,LOW
83.86,31.77,28.69,6.19,20.73,LOW
90.52,41.63,37.96,7.42,35.12,MODERATE
52.93,34.68,37.05,12.44,21.5,MODERATE
84.17,58.35,19.13,8.06,11.71,MODERATE
176.46,35.41,55.97,9.49,22.52,MODERATE
201.1,34.18,45.8,8.09,29.08,MODERATE
79.53,17.11,49.98,5.94,33.98,LOW
286.35,43.83,82.17,11.04,15.13,HIGH
211.22,24.23,64.57,9.06,28.97,MODERATE
112.46,29.25,24.75,5.33,29.36,LOW
65.45,41.83,25.36,6.63,31.81,LOW
75.19,22.04,27.54,9.13,7.97,LOW
11.13,15.68,31.58,5.02,33.94,LOW
110.23,21.99,45.08,5.85,26.65,MODERATE
96.08,34.19,22.91,5.87,26.75,LOW
242.65,41.13,72.14,11.2,30.23,MODERATE
114.08,33.96,28.07,6.24,11.97,LOW
72.94,35.41,18.01,5.02,30.09,LOW
129.43,36.89,47.1,8.34,38.0,MODERATE
49.79,5.9,31.91,3.31,15.79,LOW
86.69,45.12,37.74,8.98,23.61,MODERATE
224.68,33.16,79.47,11.12,24.22,MODERATE
155.89,37.51,52.25,7.99,26.14,MODERATE
147.51,11.43,48.81,5.56,26.56,LOW
42.58,18.15,14.64,3.79,19.97,LOW
266.28,55.96,80.44,13.23,24.24,HIGH
106.58,30.21,25.24,5.57,34.46,LOW
145.51,29.13,63.17,8.48,26.44,MODERATE
93.91,41.12,42.63,13.63,26.21,MODERATE
95.15,9.21,58.25,5.65,19.71,LOW
60.04,16.82,31.32,10.96,32.03,LOW
124.1,35.43,49.66,7.59,22.7,MODERATE
48.26,24.96,23.4,4.88,11.7,LOW
143.3,31.14,46.18,7.83,26.52,MODERATE
225.28,45.93,56.15,9.32,28.24,MODERATE
277.65,39.99,64.5,9.38,22.21,HIGH
61.75,41.41,30.1,6.99,10.61,MODERATE
114.23,52.75,39.74,13.9,17.3,MODERATE
45.68,37.0,16.44,5.73,23.31,LOW
70.06,50.72,23.22,8.18,21.66,MODERATE
133.23,28.75,44.57,8.27,26.65,MODERATE
179.47,34.35,45.74,9.13,27.55,MODERATE
105.86,25.47,41.14,7.59,21.39,LOW
119.29,42.31,32.75,7.47,15.61,MODERATE
220.83,48.08,65.63,10.24,32.72,HIGH
171.65,34.07,43.56,7.39,27.36,MODERATE
136.81,34.56,35.93,6.68,28.03,MODERATE
220.79,8.55,44.68,4.65,26.3,MODERATE
154.87,38.57,47.79,7.72,30.58,MODERATE
165.63,41.54,63.07,13.32,21.71,MODERATE
121.19,24.09,52.84,10.44,28.97,MODERATE
117.13,32.64,43.36,6.81,28.01,LOW
107.76,30.86,22.7,5.19,27.81,LOW
287.6,48.24,85.02,11.85,16.83,HIGH
170.01,31.07,54.21,7.94,24.83,MODERATE
80.76,47.58,29.51,7.46,26.32,MODERATE
35.1,30.28,32.38,9.99,34.67,LOW
120.45,27.63,46.42,6.61,24.6,MODERATE
113.85,20.79,55.74,6.9,30.49,LOW
43.5,34.8,13.33,4.67,15.08,LOW
125.8,13.03,32.06,9.76,19.7,LOW
146.63,37.39,37.99,10.54,26.63,MODERATE
52.41,29.23,24.25,6.75,26.58,LOW
62.62,40.81,41.48,8.23,19.7,LOW
77.92,24.24,27.15,4.91,29.73,LOW
44.1,32.68,19.88,5.23,22.99,LOW
89.47,38.18,38.02,7.74,22.86,LOW
112.68,19.28,46.53,7.84,23.53,LOW
106.27,35.44,20.48,5.64,32.03,MODERATE
182.03,42.26,63.36,9.85,30.53,MODERATE
188.94,40.45,51.32,9.53,35.3,MODERATE
149.03,30.85,46.97,7.25,27.3,MODERATE
162.62,30.84,62.12,9.37,35.59,MODERATE
115.18,42.5,38.61,8.07,25.43,MODERATE
200.15,59.58,46.78,9.75,23.24,HIGH
171.75,33.84,40.99,7.44,21.37,MODERATE
51.35,35.79,26.06,9.44,22.94,LOW
162.64,30.19,48.11,7.39,23.24,MODERATE
105.61,54.53,38.71,9.13,19.89,MODERATE
122.46,49.06,38.73,8.11,20.46,MODERATE
124.2,25.63,52.26,8.18,27.65,LOW
243.26,30.43,68.72,11.38,21.07,MODERATE
62.45,21.06,14.64,3.93,13.8,LOW
222.4,25.58,70.46,8.61,13.49,MODERATE
138.53,36.05,60.73,13.17,11.42,MODERATE
284.82,31.13,78.9,11.48,15.5,HIGH
99.57,37.28,38.76,8.09,16.8,MODERATE
57.65,17.53,21.44,4.02,18.16,LOW
37.07,26.03,21.22,4.67,25.72,LOW
259.78,43.12,76.17,12.29,16.37,HIGH
190.15,41.4,65.89,10.52,18.48,MODERATE
125.6,38.9,46.2,8.69,13.01,MODERATE
124.93,42.34,57.03,8.91,20.04,MODERATE
51.48,32.19,27.11,6.46,28.34,LOW
112.0,38.48,30.67,8.9,23.86,MODERATE
81.98,30.17,24.29,9.36,24.49,LOW
179.26,32.16,64.31,8.53,23.99,MODERATE
77.14,46.84,40.03,9.38,16.29,MODERATE
153.74,7.14,35.67,4.83,21.55,LOW
95.82,40.58,34.4,10.13,25.33,MODERATE
124.6,24.63,41.03,7.83,29.82,MODERATE
241.96,42.51,62.22,14.27,26.18,HIGH
120.38,44.76,30.2,11.72,29.28,MODERATE
40.1,12.05,17.63,3.0,17.48,LOW
72.6,47.86,23.34,8.59,14.98,LOW
166.75,26.59,40.59,7.04,13.49,MODERATE
82.9,51.91,39.87,8.74,28.9,MODERATE
290.71,50.28,81.22,11.85,15.36,HIGH
181.18,33.38,51.15,7.56,30.37,MODERATE
130.69,44.24,27.19,8.98,21.32,MODERATE
106.41,44.62,36.02,7.93,34.01,MODERATE
66.95,7.28,33.9,6.36,21.31,LOW
53.45,55.52,20.87,8.63,21.64,LOW
142.32,46.42,37.11,9.29,24.4,MODERATE
122.11,12.72,40.88,5.06,21.51,LOW
86.85,35.82,36.79,7.44,26.51,MODERATE
109.73,39.63,23.14,6.61,17.73,MODERATE
167.2,28.74,62.62,8.29,25.12,MODERATE
148.2,37.11,37.61,9.4,19.49,MODERATE
158.89,21.24,46.57,7.31,22.77,MODERATE
113.94,12.4,49.52,5.26,15.75,MODERATE
176.92,23.04,54.92,9.27,29.23,MODERATE
194.81,19.65,66.63,7.46,21.86,MODERATE
116.19,12.93,52.99,6.31,29.5,LOW
143.99,41.85,35.0,8.26,19.58,MODERATE
74.72,28.66,38.66,5.97,23.95,LOW
187.93,35.88,66.95,10.53,29.56,MODERATE
219.47,44.32,60.28,10.87,16.95,MODERATE
111.13,48.0,37.08,9.35,18.71,MODERATE
101.94,32.96,22.12,5.33,28.86,LOW
212.27,53.45,67.95,11.22,32.08,HIGH
173.51,27.71,32.89,5.83,24.1,MODERATE
130.74,33.57,51.51,12.31,18.18,MODERATE
75.66,43.1,20.3,6.04,22.09,LOW
154.32,5.0,60.08,6.15,35.82,LOW
78.69,30.74,35.48,8.99,16.0,LOW
77.61,20.94,40.15,7.51,27.17,LOW
121.54,16.55,35.24,7.07,24.75,MODERATE
